director1,screenwriter1,actors1,types1,country1,languages1,years1,times1,score1,numbers1,five1,four1,three1,two1,one1,review1,new_review1,piaofang1,predictions
0.0023734177215189874,0.0014850014850014848,0.0032058287795992714,0.2822156099794003,0.1861535243672872,0.12546262028127314,1993,171,9.6,2229881,0.825,0.152,0.019,0.002,0.002,4.748842661285536,0.6542135012318196,45135594.44,45875514.03018162
0.002109704641350211,0.0025245025245025244,0.0013114754098360656,0.2934309910734722,0.2967998326709893,0.381939304219097,1957,116,9.6,610350,0.823,0.159,0.016,0.001,0.001,4.873434691203802,0.9579023004445666,12820763.1,12641511.98850254
0.002109704641350211,0.0016335016335016334,0.002768670309653916,0.274891279468986,0.3007738966743359,0.43153219837157664,1998,194,9.5,2286315,0.768,0.2,0.0289999999999999,0.002,0.001,4.999528550954213,0.9977282675961047,49945373.78,47013313.749675795
0.0015822784810126582,0.0011880011880011881,0.0025500910746812386,0.2722590981918059,0.2967998326709893,0.3386380458919319,1994,142,9.5,2247658,0.7709999999999999,0.198,0.027,0.002,0.001,5.056552587646077,0.9897714084800925,44817401.4,46213773.79233834
0.00026371308016877635,0.000297000297000297,0.0002185792349726776,0.3810940718699931,0.02405354528341351,0.40840118430792005,2020,116,9.5,1376128,0.805,0.1689999999999999,0.022,0.002,0.002,4.952664362118445,0.40319893968005543,28655301.09,28385201.99870239
0.0050105485232067514,0.0013365013365013365,0.002768670309653916,0.24032959487296862,0.2967998326709893,0.38934122871946714,1993,195,9.5,1162990,0.802,0.173,0.021,0.001,0.002,4.999062335908784,0.2796355125399471,23495510.09,24023002.829312164
0.00026371308016877635,0.0004455004455004455,0.0005100182149362477,0.2219043259327077,0.10771805061702573,0.12546262028127314,1982,118,9.6,166159,0.8079999999999999,0.1669999999999999,0.023,0.002,0.001,4.901830443159923,0.8754485982078664,3277595.25,3536056.605285557
0.0015822784810126582,0.001485001485001485,0.002040072859744991,0.31952391851682305,0.3756536289479188,0.4337527757216877,2024,110,9.4,2376257,0.7340000000000001,0.228,0.034,0.003,0.002,4.738161743682231,0.8581929518917389,45852222.57,48852376.78772655
0.003428270042194093,0.002376002376002376,0.0016029143897996357,0.2980086976424811,0.06776824932022589,0.07050333086602517,2019,125,9.4,2334738,0.736,0.228,0.033,0.002,0.001,4.916760460805085,0.5408082974130815,46584734.81,48046775.34090407
0.0031645569620253164,0.0016335016335016334,0.0026958105646630237,0.31242847333485924,0.3894582723279648,0.4777942264988897,2010,148,9.4,2151019,0.727,0.235,0.035,0.002,0.001,4.816105296293381,0.22068361461272967,42715390.39,44243563.33051502
0.0031645569620253164,0.002376002376002376,0.002331511839708561,0.27523460746166173,0.41455762392804846,0.3386380458919319,2014,169,9.4,1950318,0.754,0.203,0.037,0.004,0.002,4.964081122349638,0.9992956238309278,41491525.48,40130446.45083961
0.0005274261603375527,0.000594000594000594,0.001384335154826958,0.23426413366903182,0.2967998326709893,0.3386380458919319,1998,103,9.4,1805353,0.722,0.242,0.033,0.002,0.001,4.852338870951525,0.9388510113344462,36713455.15,37141313.51698489
0.0015822784810126582,0.000594000594000594,0.001092896174863388,0.2040512703135729,0.3894582723279648,0.4091413767579571,2009,93,9.4,1443747,0.7490000000000001,0.211,0.036,0.003,0.001,4.753306619264259,0.9597899752001533,31932589.71,29743323.98720289
0.0005274261603375527,0.0004455004455004455,0.0006557377049180328,0.2040512703135729,0.031583350763438614,0.0307179866765359,2011,125,9.4,967546,0.715,0.249,0.033,0.002,0.001,4.8735570709096585,0.9181665817420535,18692132.29,19976904.23771618
0.00026371308016877635,0.0004455004455004455,0.0015300546448087432,0.30842298008697644,0.10771805061702573,0.12546262028127314,1961,113,9.4,461547,0.747,0.209,0.04,0.003,0.002,4.9981405727036075,0.7731069853422635,8956856.37,9582302.479390869
0.0018459915611814346,0.0013365013365013365,0.0008743169398907104,0.2040512703135729,0.1861535243672872,0.12546262028127314,1994,148,9.5,148201,0.76,0.215,0.022,0.001,0.001,4.916689014034147,0.9249553597503101,2927275.83,3167718.821834242
0.0007911392405063291,0.000594000594000594,0.0008743169398907104,0.2040512703135729,0.2967998326709893,0.3386380458919319,1957,96,9.4,519764,0.76,0.207,0.03,0.002,0.001,4.728048071331654,0.5643019048686476,11653615.43,10797996.152148355
0.005274261603375527,0.0025245025245025244,0.0033515482695810565,0.3126573586633097,0.07843547375026146,0.06254626202812731,2003,101,9.3,1431332,0.6940000000000001,0.266,0.038,0.002,0.001,4.863242972605679,0.9158044849633722,30913656.5,29494504.97061338
0.0013185654008438818,0.0010395010395010396,0.0007285974499089253,0.216411078049897,0.02405354528341351,0.4337527757216877,2019,165,9.3,1739437,0.71,0.24,0.044,0.004,0.002,4.462995387367034,0.735972106273647,39247751.2,35842208.21593521
0.0015822784810126582,0.0010395010395010396,0.0008743169398907104,0.24422064545662622,0.30328383183434426,0.5346039970392302,1987,163,9.3,933181,0.706,0.251,0.039,0.003,0.001,4.483049976006033,0.5083795567317079,19390521.77,19284249.68223457
0.003955696202531646,0.0007425007425007424,0.003132969034608379,0.24822613870450902,0.1861535243672872,0.12546262028127314,1994,132,9.3,888577,0.703,0.255,0.039,0.003,0.001,4.8506744092028375,0.8050860011406694,19105456.21,18361301.62010893
0.00026371308016877635,0.0007425007425007424,0.00029143897996357013,0.216411078049897,0.12068604894373561,0.06865284974093264,2004,97,9.3,1365578,0.71,0.253,0.035,0.002,0.001,4.646797654153275,0.8780878864160279,27861329.29,28159858.46629769
0.0010548523206751054,0.0016335016335016334,0.0013114754098360656,0.2944609750514992,0.10771805061702573,0.19633604737231683,2000,139,9.3,655338,0.711,0.241,0.043,0.003,0.002,4.782292899881611,0.9202895586198325,13818924.87,13567243.854623152
0.0005274261603375527,0.000594000594000594,0.00036429872495446266,0.2944609750514992,0.07885379627692951,0.06865284974093264,2011,112,9.3,1174739,0.688,0.268,0.0409999999999999,0.003,0.001,4.999158249158249,0.7682765212443636,24969296.79,24227788.060934477
0.0013185654008438818,0.0013365013365013365,0.0018943533697632058,0.25623712520027464,0.2967998326709893,0.37435233160621767,1972,175,9.3,1012288,0.722,0.2269999999999999,0.045,0.004,0.002,4.8676181792677795,0.5409194596177184,20779632.43,20891075.59424959
0.0026371308016877636,0.004752004752004752,0.0021129326047358834,0.3459601739528496,0.30202886425434006,0.33956328645447814,2004,201,9.3,839130,0.7090000000000001,0.236,0.05,0.004,0.002,4.998988059097349,0.9077190850083893,17463649.36,17315172.727125276
